number,date,title,length,inKey,tempo,topic,location,instruments,beard,videoID,description,acousticProduced,firsts,comments,press,mood,spotify,itunes,bandcamp,tags
200,7/19/2009,Pictures of Plenty,2:05,E,121,Poetic,Los Angeles,"Vocals, Electric Guitar",Shadow,https://www.youtube.com/watch?v=GwjVeqKeep4,Basically thoughts on an article I read today.,Produced,,,,Pensive,https://open.spotify.com/track/6dXoloIUVyEVfQzmJTlMnM,https://itunes.apple.com/ph/album/pictures-of-plenty/1133055443?i=1133055481,https://jonathanmann.bandcamp.com/track/pictures-of-plenty,"Folk, Distortion, Wistful"
201,7/20/2009,Bing Goes the internet,1:13,Gm,130,Contest,Berkeley,"Vocals, Electric Guitar, Samples, Drum Machine",Shadow,https://youtu.be/h9DBynJUCS4,"“Bing Goes the Internet.""  Microsoft just announced this jingle/video contest today. So I decided to enter. Be sure to rate 5 stars! And send it to your friends. The video with the best rating and most views wins!",Produced,,,,Silly,https://open.spotify.com/track/40DEH5ltS2ynYnaY9Mfa1P,https://itunes.apple.com/ph/album/bing-goes-the-internet/1133055443?i=1133055482,https://jonathanmann.bandcamp.com/track/bing-goes-the-internet,"Rock, Cheesy, Fun, Catchy"
202,7/21/2009,I am a Crazy Piccachu,1:35,C,130,Nerd,Berkeley,"Vocals, Electric Guitar, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=eocDr_8BW_Y,A mask! I'm wearing a mask!,Produced,,,,Silly,https://open.spotify.com/track/0p32binqfYqKfashbhexcf,https://itunes.apple.com/ph/album/i-am-a-crazy-piccachu/1133055443?i=1133055483,https://jonathanmann.bandcamp.com/track/i-am-a-crazy-piccachu,"Rock, Fun, Light, NES, Pikachu"
203,7/22/2009,Bike Love,1:49,C,155,Bike,Berkeley,"Vocals, Electric Guitar, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=TAlhgKWEqWE,A song about riding bikes that love each other as much as those that are riding them.,Produced,,,,Happy,https://open.spotify.com/track/3G1NbxTvHTBXBpdCQwj994,https://itunes.apple.com/ph/album/bike-love/1133055443?i=1133055484,https://jonathanmann.bandcamp.com/track/bike-love,"Rock, Fun, Light, Love"
204,7/23/2009,Commondreams.org,1:07,Am,73,Commission,Berkeley,"Vocals, Piano, Acoustic Guitar, Samples, Drum Machine",Beard,https://www.youtube.com/watch?v=j7lF18vQ5HI,"www.commondreams.org, the leading website for all things progressive politics asked me to write them a song and make a video. Here it is!",Produced,,,,Intense,https://open.spotify.com/track/4cKLWWP1ondbaokA80Rk69,https://itunes.apple.com/ph/album/commondreams-org/1133055443?i=1133055485,https://jonathanmann.bandcamp.com/track/commondreams-org,"Rock, Heavy, Political, Social Justice"
205,7/24/2009,"Look at That Deer, Licking That Cat",2:03,C,71,Animals,Berkeley,"Vocals, Synths, Drum Machine",N/A,https://www.youtube.com/watch?v=vR-vY5fzTeA,Look at that deer licking that cat!,Produced,,,,Chill,https://open.spotify.com/track/5VYVejL1z2YhbGt62cE2XM,https://itunes.apple.com/ph/album/look-at-that-deer-licking-that-cat/1133055443?i=1133055486,https://jonathanmann.bandcamp.com/track/look-at-that-deer-licking-that-cat,"Rock, Wistful, Narrative, Animals, Cats, Deer"
206,7/25/2009,The Robots Don't Love You Anymore,1:51,G,141,Nerd,Berkeley,"Vocals, Electric Guitar, Synths, Drum Machine",N/A,https://www.youtube.com/watch?v=JflvA6n86Wk,"A song title request. This marks the triumphant return of Novox The Robot, my robot recording buddy! If you want to hear more of our collaborations, go here: www.jonathanmannmusic.com",Produced,,,,Intense,https://open.spotify.com/track/6UKuT6G6SDNOdSrdlaa6fb,https://itunes.apple.com/ph/album/the-robots-dont-love-you-anymore/1133055443?i=1133055487,https://jonathanmann.bandcamp.com/track/the-robots-dont-love-you-anymore,"Electro, Dark, Good, Catchy, Robots"
207,7/26/2009,Ocean,1:44,C,77,Poetic,Berkeley,"Vocals, Synths, Drum Machine",N/A,https://www.youtube.com/watch?v=G1YC_fTssUQ,LYRICS: maybe we weren't ever supposed to leave but some enterprising fish believed that happiness could be found on the land,Produced,,,,Chill,https://open.spotify.com/track/54lOsB3ApDotNxsyaARC3k,https://itunes.apple.com/ph/album/ocean/1133055443?i=1133055488,https://jonathanmann.bandcamp.com/track/ocean,"Electro, Wistful, Dreamy, Catchy, Good, Vocoder"
208,7/27/2009,The Kind of Song You'd Hear in a 90s Noir B-Movie,3:30,B,115,Poetic,Berkeley,"Vocals, Synths, Drum Machine",Shadow,https://www.youtube.com/watch?v=NGCO-9ziY4I,"I'm pretty sure that the chorus melody sounds exactly like another song, but I can't figure out what it is.",Produced,,,,Intense,https://open.spotify.com/track/4isvL2Rb2u3Tgj7uieqG65,https://itunes.apple.com/ph/album/the-kind-of-song-youd-hear-in-a-90s-noir-b-movie/1133055443?i=1133055489,https://jonathanmann.bandcamp.com/track/the-kind-of-song-youd-hear-in-a-90s-noir-b-movie,"Electro, Cheesy, Dark, Heavy"
209,7/28/2009,Two Chords,1:21,G,80,Poetic,Berkeley,"Vocals, Electric Guitar, Drum Machine",Clean,https://www.youtube.com/watch?v=UY31lHRJwfY,"What can I say with just two chords, my voice and a simple beat?",Produced,,,,Pensive,https://open.spotify.com/track/5miQhEUl0snrVPvVx9YVjX,https://itunes.apple.com/ph/album/two-chords/1133055443?i=1133055490,https://jonathanmann.bandcamp.com/track/two-chords,"Rock, Light, Silly"
210,7/29/2009,Games and Sounds,1:09,G,120,Video Games,Berkeley,"Vocals, Synths, Drum Machine",Clean,https://www.youtube.com/watch?v=IQDXq2zpBCI,"This is a requst for my friend Robert! If you're wondering where # 211 is, well, it's all Butterfinger and Yahoo's fault. I entered another video contest, a Butterfinger one, and they haven't approved my video yet. As soon as they do, I'll let you know!",Produced,,,,Silly,https://open.spotify.com/track/2w8DIxzEqWW2pocqFA3ngx,https://itunes.apple.com/ph/album/games-and-sounds/1133055443?i=1133055491,https://jonathanmann.bandcamp.com/track/games-and-sounds,"Electro, Light, Theme Song, Web series"
211,7/30/2009,Gone Like the Dodo,2:17,Am,95,Poetic,Berkeley,"Vocals, Synths, Drum Machine",Clean,https://www.youtube.com/watch?v=sxjkIgsppwc,there's a place that i know where the wild things grow and the rose rises up like a pheonix and the ladies exclaim and dawdle and feign but only i know it's secret gone like the dodo there's a skull and some teeth that are buried beneath a mixture of clay and of sandstone where my true love died when i buried her alive to keep her from knowing what i know gone like the dodo i don't want you to come and look for me,Produced,,,,Pensive,https://open.spotify.com/track/1ze2ri95XexLC5jrNosR0E,https://itunes.apple.com/ph/album/gone-like-the-dodo/1133055443?i=1133055492,https://jonathanmann.bandcamp.com/track/gone-like-the-dodo,"Electro, Wistful, Vocoder, Dreamy, Dark"
212,7/31/2009,Time Capsule,1:27,G,140,Poetic,Berkeley,"Vocals, Synths, Drum Machine",N/A,https://www.youtube.com/watch?v=F02hhkUDhuI,don't break the seal on this capsule that i'm filling with the artifacts of ordinary life the future will unravel all the mysteries of modern day politics and they will set it right,Produced,,,,Happy,https://open.spotify.com/track/3xLLZcEMNYMcehRnkCZKB9,https://itunes.apple.com/ph/album/time-capsule/1133055443?i=1133055493,https://jonathanmann.bandcamp.com/track/time-capsule,"Electro, Cheesy, 80s, Vocoder, Rough"
213,8/1/2009,Nic Kaelin,1:16,C,100,Friend,Berkeley,"Vocals, Synths, Drum Machine",Shadow,https://www.youtube.com/watch?v=QHcF-qwEs_M,"In what is becoming a band tradition, here is my trumpet player and good friend's birthday song. I hope he doesn't move away to NYC.",Produced,,,,Happy,https://open.spotify.com/track/79rKIGJDHf4TQGhwTDeyUq,https://itunes.apple.com/ph/album/nic-kaelin/1133055443?i=1133055494,https://jonathanmann.bandcamp.com/track/nic-kaelin,"Rock, Cheesy, Light, Birthday"
214,8/2/2009,Life With Cha Cha is in Sonic Technicolor,2:15,C,130,Contest,Berkeley,"Vocals, Synths, Drum Machine",Shadow,https://www.youtube.com/watch?v=012_5is488Y,And ad commissioned by ChaCha.,Produced,,,,Chill,https://open.spotify.com/track/6Ka6LyGXPlPWPvjdM4UMIl,https://itunes.apple.com/ph/album/cha-cha-is-sonic-technicolor/1133055443?i=1133055495,https://jonathanmann.bandcamp.com/track/live-with-cha-cha-is-in-sonic-technicolor,"Rock, Fun, Dark, Catchy, Cha Cha"
215,8/3/2009,Let Your Ears Decide,1:30,E,170,Contest,Berkeley,"Vocals, Piano, Synths, Drum Machine",N/A,https://www.youtube.com/watch?v=5jR84NTwRF4,"Another day, another video contest. This one for Phillips' new line of mp3 players.",Produced,,,,Chill,https://open.spotify.com/track/6u05bi204mjSRqz1k1dezc,https://itunes.apple.com/ph/album/let-your-ears-decide/1133055443?i=1133055496,https://jonathanmann.bandcamp.com/track/let-your-ears-decide,"Rock, Bad, Cheesy"
216,8/4/2009,Wash Your Hands!,0:30,C,100,Contest,Berkeley,"Vocals, Piano, Synths, Drum Machine",Shadow,https://www.youtube.com/watch?v=bT-Ktx8Qpc0,A PSA about the importance of washing your hands to prevent the contraction and spread of flu viruses. www.flu.gov,Produced,,,,Happy,https://open.spotify.com/track/1rMJNvcKdbpIQbqBRGIfJK,https://itunes.apple.com/ph/album/wash-your-hands/1133055443?i=1133055497,https://jonathanmann.bandcamp.com/track/wash-your-hands,"Rock, Fun, Educational, Hand Washing"
217,8/5/2009,I am MG Siegler,0:58,D#,163,Internet,Berkeley,"Vocals, Synths, Drum Machine",N/A,https://www.youtube.com/watch?v=ybsRCQy_3xQ,"The article the song refers to: http://bit.ly/Yk9Uk

So, those that know me, know that I don’t often address internet critics. Everyone’s got an opinion, no use getting up in arms about it. But MG Siegler’s post on TechCrunch was so nasty, and so high profile, that it seemed like I had to strike back. And so I have. I present to you, “I’m MG Siegler”, in which I throw his words back at him, and more. One note: The part about him blowing his boss…that’s completely made up. I really just wanted to use the rhyme “careington/arrington”. Enjoy!",Produced,,,,Intense,https://open.spotify.com/track/515xsfOnATJxMW3Co1KTXZ,https://itunes.apple.com/ph/album/i-am-mg-siegler/1133055443?i=1133055498,https://jonathanmann.bandcamp.com/track/i-am-mg-siegler,"Electro, Fun, Light, Funny, Silly, Famous Person, MG Sieglar"
218,8/6/2009,The Big Picture With David Shuster,1:46,F,96,TV,Berkeley,"Vocals, Synths, Drum Machine",Shadow,https://www.youtube.com/watch?v=wySpD3mUx2M,"So, David Shuster asked me to write a song about his new show ""The Big Picture"" which he hosts with Tamron Hall. Awesome! It airs weekdays from 3pm-5pm! Here's the song!",Produced,,,,Chill,https://open.spotify.com/track/00QcdhTvNiyPw06aoDcP4P,https://itunes.apple.com/ph/album/the-big-picture-and-david-shuster/1133055443?i=1133055499,https://jonathanmann.bandcamp.com/track/the-big-picture-with-david-shuster,"Electro, Bad, Cheesy, Famous Person, Tamron Hall, David Shuster"
219,8/7/2009,"That Dastardly Villian, MG",1:29,G,105,Internet,Berkeley,"Vocals, Piano, Synths, Drum Machine",Shadow,https://www.youtube.com/watch?v=DxYlmF2NV2E,My twitter account got hacked last week then you posted about it you thought somehow that meant you won then it was reinstated if this were star wars you'd be the death star if it were lord of the rings you live in modor if this were the smurfs you'd be gargamel if this were harry potter you'd be voldermort you can mess around with my website name it's rock cookie bottom bitch what does MG stand for anyway? Or is it just your sissy pen name,Produced,,,,Intense,https://open.spotify.com/track/2EXbSG82woxeYn4Nketo5U,https://itunes.apple.com/ph/album/that-dastardly-villian-mg/1133055443?i=1133055500,https://jonathanmann.bandcamp.com/track/that-dastardly-villian-mg,"Electro, Bad, Heavy, Famous Person, MG Sieglar"
220,8/8/2009,I Wrote the Worst Jingle in the World,1:02,C,96,Song A Day,Berkeley,"Vocals, Samples, Synths, Drum Machine",Shadow,https://www.youtube.com/watch?v=1ikv048WI7E,"That's what they're saying, at least.",Produced,,,,Intense,https://open.spotify.com/track/3qunbAdXAM9dim4SfT0h4q,https://itunes.apple.com/ph/album/i-wrote-the-worst-jingle-in-the-world/1133055443?i=1133055501,https://jonathanmann.bandcamp.com/track/i-wrote-the-worst-jingle-in-the-world,"Circus, Fun, Dark, Life"
221,8/9/2009,"Do It, Screw It",1:14,C#,117,Poetic,Berkeley,"Vocals, Acoustic Guitar",Shadow,https://www.youtube.com/watch?v=NJrFXJmCpg8,do it oh just do it screw it just go and do it i'll leave it all behind if i could find the kind of conduit through which i could feed,Acoustic,,,,Chill,https://open.spotify.com/track/3lkM8RUxFFysSwdPUf4pLz,https://itunes.apple.com/ph/album/do-it-screw-it/1133055443?i=1133055502,https://jonathanmann.bandcamp.com/track/do-it-screw-it,"Folk, Motivational "
222,8/10/2009,SkyDiving Through Groupon.com,1:52,G,120,Commission,Berkeley,"Vocals, Synths, Drum Machine",Clean,https://www.youtube.com/watch?v=YfGhZTWgD8g,"Groupon.com is a deal-a-day website. In a few days, they'll be offering a skydiving package at $100 off! Here's a song about it! Awesome.",Produced,,,,Intense,https://open.spotify.com/track/1giJpFl8KRqKXzB6RZbeyv,https://itunes.apple.com/ph/album/skydiving-through-groupon-com/1133055443?i=1133055503,https://jonathanmann.bandcamp.com/track/skydiving-through-groupon-com,"Electro, Cheesy, Fun, Company, Groupon"
223,8/11/2009,Courseopedia.com,1:14,F,95,Commission,Berkeley,"Vocals, Synths, Drum Machine",Clean,https://www.youtube.com/watch?v=rbxTCnSAmqc,courseopedia is a website where you can can enter your zipcode and the kind of college course you want to take and it will find all the relevent courses for you. Awesome!,Produced,,,,Chill,https://open.spotify.com/track/5M6rFPdWfWDe3U9MEWl0Wv,https://itunes.apple.com/ph/album/courseopedia-com/1133055443?i=1133055504,https://jonathanmann.bandcamp.com/track/courseopedia-com,"Electro, Cheesy, Company, Courseopedia.com"
224,8/12/2009,Bamboo Solutions,1:41,D,100,Commission,Berkeley,"Vocals, Synths, Drum Machine",Clean,https://www.youtube.com/watch?v=hfIFVV3TSzo,"Bamboo Solutions is a company that makes ""web parts"" for ""sharepoint"". I don't know. But their song is kind of rockin'! Yeah!",Produced,,,,Intense,https://open.spotify.com/track/5yAeZSvdzndVa97fOQnpT4,https://itunes.apple.com/ph/album/bamboo-solutions/1133055443?i=1133055505,https://jonathanmann.bandcamp.com/track/bamboo-solutions,"Electro, Cheesy, Company, Internet, Bamboo Solutions"
225,8/13/2009,Man Did What Some Birds Could Never Do,1:08,A,150,Animals,Berkeley,"Vocals, Synths, Drum Machine",Clean,https://www.youtube.com/watch?v=wYSd19nxH8c,A song about flight,Produced,,,,Intense,https://open.spotify.com/track/0CPu2Lqos2rIEbY1ZAnFAy,https://itunes.apple.com/ph/album/man-did-what-some-birds-could-never-do/1133055443?i=1133055506,https://jonathanmann.bandcamp.com/track/man-did-what-some-birds-could-never-do,"Rock, Hopeful, Fun, Animals, Bird"
226,8/14/2009,Fox News is Bad for the Country,2:09,F,80,Politics,Berkeley,"Vocals, Piano, Samples, Drum Machine",Clean,https://www.youtube.com/watch?v=6ZdUCtBd2mA,Pretty self-explanatory.,Produced,,,,Angry,https://open.spotify.com/track/2HMeCMvm5em3jY40DR53z0,https://itunes.apple.com/ph/album/fox-news-is-bad-for-the-country/1133055443?i=1133055507,https://jonathanmann.bandcamp.com/track/fox-news-is-bad-for-the-country,"Rock, Distortion, Political, TV, Fox News, Famous Person, Glenn Beck, Bill O'Reilly "
227,8/15/2009,InFolinks,1:24,D,117,Song A Day,Berkeley,"Vocals, Piano",Clean,https://www.youtube.com/watch?v=xNz3xpsUoX4,I make money online by writing songs. How do you make money online?,Produced,,,,Intense,https://open.spotify.com/track/6ODwiOhOSUhuWOD4ofVPlt,https://itunes.apple.com/ph/album/infolinks/1133055443?i=1133055508,https://jonathanmann.bandcamp.com/track/infolinks,"Blues, Funny, Fun "
228,8/16/2009,"The King of Monkeys, Gnomes and Nacho Cheese",0:40,E,65,Nerd,Vermont,"Vocals, Synths, Drum Machine",Shadow,https://www.youtube.com/watch?v=DqqeLoWxmYM,"Someone asked for a song about their friend who is known for three things: Monkeys, Gnomes and Nacho Cheese. Here it is.",Produced,,,,Chill,https://open.spotify.com/track/3x18ePTFNPtjiGEFDBmtyq,https://itunes.apple.com/ph/album/the-king-of-monkeys-gnomes-and-nacho-cheese/1133055443?i=1133055509,https://jonathanmann.bandcamp.com/track/the-king-of-monkeys-gnomes-and-nacho-cheese,"Electro, Fun, Wistful, Animals, Monkeys, Gnomes, Food, Nacho Cheese"
229,8/17/2009,What Are You So Angry About?,1:49,D,84,Politics,Vermont,"Vocals, Piano, Acoustic Guitar, Samples",Shadow,https://www.youtube.com/watch?v=g-LTwDqUJ4c,"A song about the current health insurance boondoggle. The insurance industry is just too powerful, they couldn't let things change. They've done some really intense lobbying and managed to derail the whole thing. Damn.",Produced,,,,Confused,https://open.spotify.com/track/5giNpGIi8SUVOf5j7KTEow,https://itunes.apple.com/ph/album/what-are-you-so-angry-about/1133055443?i=1133055510,https://jonathanmann.bandcamp.com/track/what-are-you-so-angry-about,"Folk, Political, Health Care"
230,8/18/2009,Please Vote for Me,0:53,F,129,Life,Vermont,"Vocals, Acoustic Guitar",Shadow,https://www.youtube.com/watch?v=_s-gegtqBEU,"I posted this Cha Cha video a few weeks ago! I've been chosen as one of 5 finalists...out of 70 videos! Yay! You can vote once every 24 hours! Please do. And get your friends to vote, too! I'm way behind at this point!",Acoustic,,,,Intense,https://open.spotify.com/track/2Sou0W7KnpkHp84wyZ2vSC,https://itunes.apple.com/ph/album/please-vote-for-me/1133055443?i=1133055511,https://jonathanmann.bandcamp.com/track/please-vote-for-me,"Folk, Personal, Funny, Plea, Frustrated"
231,8/19/2009,Tiki the Puppy,0:40,C,109,Animals,Vermont,"Vocals, Synths, Drum Machine",N/A,https://www.youtube.com/watch?v=M0FSneMDbSU,"About my parent's cute puppy, dog Tiki. Yay!",Produced,,,,Chill,https://open.spotify.com/track/6p30ApycALLw8kPnLwOMdA,https://itunes.apple.com/ph/album/tiki-the-puppy/1133055443?i=1133055512,https://jonathanmann.bandcamp.com/track/tiki-the-puppy,"Electro, Cheesy, Fun, Dogs, Tiki"
232,8/20/2009,Funny Hat,0:57,F,120,Object,Vermont,"Vocals, Synths, Drum Machine",Shadow,https://www.youtube.com/watch?v=Dmz4NhmbMdQ,My grandma's funny hat!,Produced,,,,Intense,https://open.spotify.com/track/2RP9soezN4GPVOHFdmrEQH,https://itunes.apple.com/ph/album/funny-hat/1133055443?i=1133055513,https://jonathanmann.bandcamp.com/track/funny-hat,"Electro, Funny, Fun, Grandma, Hat"
233,8/21/2009,Pop Music,2:25,G,106,Poetic,Vermont ,"Vocals, Baritone Uke",Clean,https://www.youtube.com/watch?v=vKszq7olUIo,Pop music in the shower on a baritone uke.,Acoustic,,,,Chill,https://open.spotify.com/track/4lfUUoyHp53PMkAnv9OWTO,https://itunes.apple.com/ph/album/pop-music/1133055443?i=1133055514,https://jonathanmann.bandcamp.com/track/pop-music,"Folk, Delicate, Silly, Light"
234,8/22/2009,Happy Anniversary the Cat Has Kidney Failure,2:20,F#,148,Life,Vermont,"Vocals, Baritone Uke",Clean,https://www.youtube.com/watch?v=8Eg-uwlephE,"On my brother and his wife's wedding anniversary, they found out that their cat had kidney failure.",Acoustic,,,,Silly,https://open.spotify.com/track/0PGtlJsrsdBnzafyCEed4n,https://itunes.apple.com/ph/album/happy-anniversary-the-cat-has-kidney-failure/1133055443?i=1133055515,https://jonathanmann.bandcamp.com/track/happy-anniversary-the-cat-has-kidney-failure,"Folk, Funny, Fun, Animals, Cat"
235,8/23/2009,I am Just a Shadow,1:16,D#,113,Poetic,Vermont,"Vocals, Baritone Uke",Clean,https://www.youtube.com/watch?v=vLizXeF8RIs,I am just a shadow you can't see me,Acoustic,,,,Intense,https://open.spotify.com/track/3tbQLYBQbaNDQoc5VD6T7M,https://itunes.apple.com/ph/album/i-am-just-a-shadow/1133055443?i=1133055516,https://jonathanmann.bandcamp.com/track/i-am-just-a-shadow,"Folk, Dark, Looming"
236,8/24/2009,Lucky,1:47,D,100,Love,Vermont,"Vocals, Baritone Uke",Clean,https://youtu.be/UxqG1HV34ag,I am just a shadow you can't see me,Acoustic,,,,Pensive,https://open.spotify.com/track/5NroaXvVytJgubZWn9ljNG,https://itunes.apple.com/ph/album/lucky/1133055443?i=1133055517,https://jonathanmann.bandcamp.com/track/lucky,"Folk, Delicate, Wistful, Love"
237,8/25/2009,Epuls.pl Anthem,1:39,A#,145,Commission,Berkeley ,"Vocals, Synths, Drum Machine",Shadow,https://youtu.be/wzbka8mwQYI,A song about being lucky,Produced,,,,Tired,https://open.spotify.com/track/0hHS1s6IX7iz7MzRorIP4K,https://itunes.apple.com/ph/album/epuls-pl-anthem/1133055443?i=1133055518,https://jonathanmann.bandcamp.com/track/epuls-pl-anthem,"Electro, Cheesy, Dark, Silly"
238,8/26/2009,GPS With Bob Dylan,2:10,G,90,Nerd,Berkeley ,"Vocals, Piano, Samples, Drum Machine",Shadow,https://youtu.be/QWNAUAFb3Ik,A song about Poland's most popular social network!,Produced,,,,Silly,https://open.spotify.com/track/5LU3HO5kF9ebN3YfAE9yla,https://itunes.apple.com/ph/album/gps-voiced-by-bob-dylan/1133055443?i=1133055519,https://jonathanmann.bandcamp.com/track/gps-with-bob-dylan,"Rock, Fun, Silly, Funny, Famous Person, Bob Dylan"
239,8/27/2009,I Don't Want to Compete,1:39,D,110,Poetic,Berkeley ,"Vocals, Synths, Drum Machine",Clean,https://www.youtube.com/watch?v=ixlPXLHpQe4,What if Bob Dylan was the voice of your GPS unit? It may sound a little something like this...,Produced,,,,Sad,https://open.spotify.com/track/49mPQAOm65KRYEoqFCY6zv,https://itunes.apple.com/ph/album/i-dont-want-to-compete/1133055443?i=1133055520,https://jonathanmann.bandcamp.com/track/i-dont-want-to-compete,"Electro, Frustrated"
240,8/28/2009,TIRED,0:40,F#,82,Song A Day,Berkeley ,"Vocals, Baritone Uke",Shadow,https://youtu.be/JZY3gPmpgPY,A song about how I've never really liked competition.,Acoustic,,,,Tired,https://open.spotify.com/track/0M30evngfRujH4IrRlPmpR,https://itunes.apple.com/ph/album/tired/1133055443?i=1133055521,https://jonathanmann.bandcamp.com/track/tired,"Folk, Fun, Silly"
241,8/29/2009,"Goodbye JewFro, Hello Cleanface",0:36,G,130,Life,Berkeley ,"Vocals, Synths, Drum Machine",Clean,https://www.youtube.com/watch?v=do4n1e_1jOY,goodbye jew fro hello clean face,Produced,,,,Excited,https://open.spotify.com/track/0W7gyrpGlMVj36CbySHI1m,https://itunes.apple.com/ph/album/goodbye-jewfro-hello-cleanface/1133055443?i=1133055522,https://jonathanmann.bandcamp.com/track/goodbye-jewfro-hello-cleanface,"Electro, Light, Fun, My Appearence"
242,8/30/2009,This is How We Do It at Bennington,1:15,C,80,Commission,Berkeley ,"Vocals, Synths, Drum Machine",Clean,https://www.youtube.com/watch?v=FgcDtphKZEs,"A song request from some folks at my alma mater! Emmet is a bodybuilder and Keenan tall, lanky",Produced,,,,Chill,https://open.spotify.com/track/7kTffcRvDaoJxVdUsySQHA,https://itunes.apple.com/ph/album/this-is-how-we-do-it-at-bennington/1133055443?i=1133055523,https://jonathanmann.bandcamp.com/track/this-is-how-we-do-it-at-bennington,"Electro, Light, Fun, Silly, Place, Bennington"
243,8/31/2009,I Got a New Guitar,1:27,E,108,Object,Berkeley ,"Vocals, Electric Guitar, Drum Machine",Clean,https://www.youtube.com/watch?v=ujWJDnOlGJQ,"I got a new guitar today, so I decided to write a song about it. I got it from Subway Guitars in Berkeley, an awesome little guitar shop. The proprietor, an eccentric Berkeley personality named Fat Dawg, has been in the guitar making/selling/trading business since the 70's. He's great. He made me this guitar. It's awesome. i got a new guitar it's silver and it's black i'm gonna play it all the time when i write my songs it'll take me far it's got a wide neck the sound is just so sublime you know that i can't go wrong i got a new guitar it is one of a kind it was made for me by a man called fat dawg i wanna be a a star i wonder if i'm past my prime but i don't know what else to be i'm just me a song hog",Produced,,,,Silly,https://open.spotify.com/track/2p3n9tune252Qt0KbuZJZe,https://itunes.apple.com/ph/album/i-got-a-new-guitar/1133055443?i=1133055524,https://jonathanmann.bandcamp.com/track/i-got-a-new-guitar,"Rock, Silly, Dark"
244,9/1/2009,No Judgements,1:54,D,105,Contest,Berkeley ,"Vocals, Piano, Drum Machine",Clean,https://www.youtube.com/watch?v=EVQmcMmd_8Q,A song for another competition. I'm going to make the video tomorrow.,Produced,,,,Chill,https://open.spotify.com/track/1KVBYioPcujdeRLF9UpbUZ,https://itunes.apple.com/ph/album/no-judgements/1133055443?i=1133055525,https://jonathanmann.bandcamp.com/track/no-judgements,"Rock, Cheesy, Wistful "
245,9/2/2009,Cisco Telepresence Anthem,0:53,F,125,Contest,Berkeley ,"Vocals, Synths, Drum Machine",Shadow,https://www.youtube.com/watch?v=qj2hZXbPBkc,N/A,Produced,,,,Intense,https://open.spotify.com/track/753xJ106RQ2c2nd4DJr55i,https://itunes.apple.com/ph/album/cisco-telepresence-anthem/1133055443?i=1133055526,https://jonathanmann.bandcamp.com/track/cisco-telepresence-anthem,"Rock, Light, Catchy"
246,9/3/2009,No Judgements v2,1:34,C,90,Contest,Berkeley ,"Vocals, Synths, Drum Machine",Clean,https://www.youtube.com/watch?v=1hkJRjCm824,Another attempt at the No Judgements concept. Which is better? (both videos are placeholders),Produced,,,,Pensive,https://open.spotify.com/track/4FR3DAnVECpytquBou3kmU,https://itunes.apple.com/ph/album/no-judgements-vol-2/1133055443?i=1133055527,https://jonathanmann.bandcamp.com/track/no-judgements-v2,"Electro, Cheesy"
247,9/4/2009,Sometimes It's Hard to Keep Yourself Moving,3:14,B,110,Poetic ,Berkeley ,"Vocals, Synths, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=6ldrFuDqcLM,A song for songfight.org. Sing it! I just couldn't dance,Produced,,,,Sad,https://open.spotify.com/track/4VI3AHkEfa4oEE3z4y4jvj,https://itunes.apple.com/ph/album/sometimes-its-hard-to-keep-yourself-moving/1133055443?i=1133055528,https://jonathanmann.bandcamp.com/track/sometimes-its-hard-to-keep-yourself-moving,"Electro, Frustrated, Dark, Wistful"
248,9/5/2009,Heart Overflowing,2:46,F,110,Love,Berkeley ,"Vocals, Synths, Samples, Drum Machine",Clean,https://www.youtube.com/watch?v=H4tY515V83Y,she wears the kind of mystery you read about in books she can make my spine electric with the most casual of looks she is open,Produced,,,,Happy,https://open.spotify.com/track/0yWA0rWXqiywnqV3ThdGEt,https://itunes.apple.com/ph/album/heart-overflowing/1133055443?i=1133055529,https://jonathanmann.bandcamp.com/track/heart-overflowing,"Rock, Wistful, Catchy"
249,9/6/2009,Bicycle Blvd,1:49,D,137,Nerd,Berkeley ,"Vocals, Electric Guitar, Drum Machine",Clean,https://www.youtube.com/watch?v=jnWcXes5pYg,the air is so much cleaner the grass is so much greener the people much less meaner on bicycle blvd. the street is much less scary the bikes are way less wary the people are more hairy on bicycle blvd. i wanna be where the bikes roam free i wanna reside where the folks are always riding so unencumbered when the cars are outnumbered on the lungs are so much stronger the days are always longer the ping is so much ponger on bicycle blvd. the weather's always better you never need a sweater you can always go and get her on on bicycle blvd can't you hear those bike bells ringing can you hear those breaks a squealing hear those those voices singing the faces are so happy commute is so more snappy and 100 times less crappy on bicycle blvd you'll feel like a winner if your a pro or a beginner and you just might get thinner on bicyle blvd,Produced,,,,Happy,https://open.spotify.com/track/3Ampu9Yr4OqQA78RCRAn8Q,https://itunes.apple.com/ph/album/bicycle-blvd/1133055443?i=1133055530,https://jonathanmann.bandcamp.com/track/bicycle-blvd,"Rock, Fun, Catchy, Good, Bike"
