number,date,title,length,inKey,tempo,topic,location,instruments,beard,videoID,description,acousticProduced,firsts,comments,press,mood,spotify,itunes,bandcamp,tags
75,3/16/2009,"Don't Give Up, Chrissy",1:30,C,80,Commission,Berkeley,"Vocals, Synths, Samples, Drum Machine",Clean,https://www.youtube.com/watch?v=HfVFsU-aQ90,"#76 is a song request from Sonmanic, AKA Richard. It's for his sister, who is having a very rough time.",Produced,,,,Sad,https://open.spotify.com/track/3jB8WelREyO0kKQo5OM0fE,https://itunes.apple.com/ph/album/dont-give-up-chrissy/1132700498?i=1132700717,https://jonathanmann.bandcamp.com/track/dont-give-up-chrissy,"Rock, Motivational, Wistful"
76,3/17/2009,"Hey, Paul Krugman",1:41,F,80,Politics,Berkeley,"Vocals, Electric Guitar, Synths, Samples, Drum Machine",Clean,https://www.youtube.com/watch?v=XOYAuk809fY,"About the famous economist, Nobel prize winner and all around cool guy. Featuring my friend Madelyn, who is in an awesome band called The Muffin Brigade",Produced,,,,Angry,https://open.spotify.com/track/6P70lLCvurjTIsz0S3WttR,https://itunes.apple.com/ph/album/hey-paul-krugman/1132700498?i=1132700718,https://jonathanmann.bandcamp.com/track/hey-paul-krugman,"Rock, Heavy, Political, Economy, Viral, Famous Person, Economist, Paul Krugman"
77,3/18/2009,Copying isn't Theft,1:09,G#,160,Nerd,Berkeley,"Vocals, Electric Guitar, Samples, Drum Machine",Clean,https://www.youtube.com/watch?v=zMP3QOlWV64,"Wasn't written by me! It was written by Nina Paley, an amazing animator. She wrote the lyrics and melody, (here's the original video of her singing it: ) When I heard it, I just knew I had to ""copy"" it! Yay!",Produced,,,,Happy,https://open.spotify.com/track/01eeQJI1Z0wHyoPY8gqkrR,https://itunes.apple.com/ph/album/copying-isnt-theft/1132700498?i=1132700719,https://jonathanmann.bandcamp.com/track/copying-isnt-theft,"Rock, Fun, Political, Internet"
78,3/19/2009,Saving Newspapers,2:41,Am,145,Nerd,Berkeley,"Vocals, Electric Guitar, Synths, Samples, Drum Machine",Clean,https://www.youtube.com/watch?v=52VdW8qFJ6Q,"This is a redux of #79. The music is the same, but I enlisted the lip-dub and acting chops of my friends down at the East Bay Express, the local alt-weekly here in the East Bay. Yay!",Produced,,,,Silly,https://open.spotify.com/track/6L6SrW8UQWIvoQO1JWhW1C,https://itunes.apple.com/ph/album/saving-newspapers/1132700498?i=1132700720,https://jonathanmann.bandcamp.com/track/saving-newspapers,"Rock, Fun, Political, Internet"
79,3/20/2009,Spring Equinox,1:10,G,90,Instrumental,Berkeley,"Synths, Samples, Drum Machine",N/A,https://www.youtube.com/watch?v=9TJ6kXDHtsU,Yes. I am green and naked and prancing through eh fairy forest. Wanna make something of it?,Produced,,,,Silly,https://open.spotify.com/track/00JQjLBYSjLhcpH7idheO5,https://itunes.apple.com/ph/album/spring-equinox/1132700498?i=1132700721,https://jonathanmann.bandcamp.com/track/spring-equinox,"Ambient, Dreamy,Weather, Spring "
80,3/21/2009,Out My Front Door,1:42,C,90,Life,Berkeley,"Vocals, Piano, Samples, Drum Machine",N/A,https://www.youtube.com/watch?v=Zov56wnlYUw,Images seen while looking out from my front door set to music and lyrics.,Produced,,,,Silly,https://open.spotify.com/track/1DnriOtkZxHzgzPLscHzvj,https://itunes.apple.com/ph/album/out-my-front-door/1132700498?i=1132700722,https://jonathanmann.bandcamp.com/track/out-my-front-door,"Rock, Wistful,Funny"
81,3/22/2009,"Come On, Nouriel",1:26,C#,120,Politics ,Berkeley,"Vocals, Piano, Drum Machine",Clean,https://www.youtube.com/watch?v=vMapa6591M4,"A sort of follow up to ""Hey Paul Krugman"", which has apparently gone viral.",Produced,,,,Happy,https://open.spotify.com/track/48S7yUvS2iqxmm6TE0ejvF,https://itunes.apple.com/ph/album/come-on-nouriel/1132700498?i=1132700723,https://jonathanmann.bandcamp.com/track/come-on-nouriel,"Rock, Political, Economy, Famous Person, Economist, Nouriel Roubini"
82,3/23/2009,A Long Time Coming (EFCA),1:59,Bb,155,Social Justice,Berkeley,"Vocals, Acoustic Guitar, Electric Guitar, Bass, Drum Machine",Clean,https://www.youtube.com/watch?v=F36rY4VMRPE,"is a song request from Jonah Lalas. He and his wife were union organizers for 5 years. This song is about The Employee Free Choice Act, which would make it much easier for workers to unionize. Which is a VERY good thing. Workers Unite!",Produced,,,,Happy,https://open.spotify.com/track/3T7EMdR9TN3RofaYsC2irM,https://itunes.apple.com/ph/album/a-long-time-coming-efca/1132700498?i=1132700724,https://jonathanmann.bandcamp.com/track/a-long-time-coming-efca,"Folk,Motivational, Wistful, Political, SJW"
83,3/24/2009,My Obama Neurosis,1:49,C,130,Politics,Berkeley,"Vocals, Synths, Samples, Drum Machine",Clean,https://www.youtube.com/watch?v=BeTV3eIkzp0,It's about my strange Obama Neurosis. I love him; I'm confused by his choices. He's great; he makes no sense! This back and forth forces me into this Jekyll and Hyde mindset. Yes! No! Argh!,Produced,,,,Confused,https://open.spotify.com/track/2j3BKJ4BRWMYP7V0UqMuVL,https://itunes.apple.com/ph/album/my-obama-neurosis/1132700498?i=1132700725,https://jonathanmann.bandcamp.com/track/my-obama-nuerosis,"Electro, Funny, Political, Famous Person, Obama"
84,3/25/2009,1600 Pennsylvania Ave.,1:26,E,150,TV,Berkeley,"Vocals, Electric Guitar, Synths, Samples, Drum Machine",Clean,https://www.youtube.com/watch?v=Zm_XoG1BqSY,"is a request from David Shuster, who has a show on MSNBC. He wanted a song about his show! So here it is! Wahoo!!",Produced,,,,Happy,https://open.spotify.com/track/3XsUeJ5xJRiirobqJ6OSNX,https://itunes.apple.com/ph/album/1600-pennsylvania-ave/1132700498?i=1132700726,https://jonathanmann.bandcamp.com/track/1600-pennsylvania-ave,"Rock,Political, TV Show, Famous Person, David Shuster"
85,3/26/2009,Fun a Day Anthem,2:30,D,138,Song A Day,Berkeley,"Vocals, Electric Guitar, Shaker",Clean,https://www.youtube.com/watch?v=TJ9Z4DgFJ0w,"Thanks to David Shuster for having me on his show!! Welcome to the new viewers! This is a REDUX, something I haven't done for any songs yet, but seemed appropriate here. This song is about following that which you LOVE to do. Since this whole viral Krugman thing only happened because I do what I love to do everyday, I want to spread the message of following your bliss, wherever it leads you. Hopefully this message will especially resonate with those that are out of work, down on their luck, feelin' blue and looking for hope. Find what you love to do and do it.",Produced,,,,Happy,https://open.spotify.com/track/5KmgeV7qvVH7FjjShFK7ah,https://itunes.apple.com/ph/album/fun-a-day-anthem/1132700498?i=1132700727,https://jonathanmann.bandcamp.com/track/fun-a-day-anthem,"Folk, Personal, Motivational, Redux"
